Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,Value,NumericValue,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
28132508,MALARIA_IPTP3_COVERAGE,COUNTRY,AGO,YEAR,2020,15,0.1497,2022-03-02T14:06:57Z,2020,01-01-20,31-12-20
28132509,MALARIA_IPTP3_COVERAGE,COUNTRY,AGO,YEAR,2019,16.2,0.16161,2022-03-02T14:06:57Z,2019,01-01-19,31-12-19
28132510,MALARIA_IPTP3_COVERAGE,COUNTRY,AGO,YEAR,2018,13.4,0.13417,2022-03-02T14:06:57Z,2018,01-01-18,31-12-18
28132511,MALARIA_IPTP3_COVERAGE,COUNTRY,AGO,YEAR,2017,8.6,0.08608,2022-03-02T14:06:57Z,2017,01-01-17,31-12-17
28132512,MALARIA_IPTP3_COVERAGE,COUNTRY,AGO,YEAR,2016,7,0.07024,2022-03-02T14:06:57Z,2016,01-01-16,31-12-16
28132513,MALARIA_IPTP3_COVERAGE,COUNTRY,AGO,YEAR,2015,12.9,0.12875,2022-03-02T14:06:57Z,2015,01-01-15,31-12-15
28132514,MALARIA_IPTP3_COVERAGE,COUNTRY,AGO,YEAR,2014,4.6,0.04636,2022-03-02T14:06:57Z,2014,01-01-14,31-12-14
28132515,MALARIA_IPTP3_COVERAGE,COUNTRY,AGO,YEAR,2013,0,0,2022-03-02T14:06:57Z,2013,01-01-13,31-12-13
28132516,MALARIA_IPTP3_COVERAGE,COUNTRY,AGO,YEAR,2012,0,0,2022-03-02T14:06:57Z,2012,01-01-12,31-12-12
28132517,MALARIA_IPTP3_COVERAGE,COUNTRY,AGO,YEAR,2011,0,0,2022-03-02T14:06:57Z,2011,01-01-11,31-12-11
28132518,MALARIA_IPTP3_COVERAGE,COUNTRY,AGO,YEAR,2010,0,0,2022-03-02T14:06:57Z,2010,01-01-10,31-12-10
28132519,MALARIA_IPTP3_COVERAGE,COUNTRY,BDI,YEAR,2020,44.5,0.44498,2022-03-02T14:06:57Z,2020,01-01-20,31-12-20
28132520,MALARIA_IPTP3_COVERAGE,COUNTRY,BDI,YEAR,2019,64.6,0.64601,2022-03-02T14:06:57Z,2019,01-01-19,31-12-19
28132521,MALARIA_IPTP3_COVERAGE,COUNTRY,BDI,YEAR,2018,60.2,0.6023,2022-03-02T14:06:57Z,2018,01-01-18,31-12-18
28132522,MALARIA_IPTP3_COVERAGE,COUNTRY,BDI,YEAR,2017,52.6,0.52608,2022-03-02T14:06:57Z,2017,01-01-17,31-12-17
28132523,MALARIA_IPTP3_COVERAGE,COUNTRY,BDI,YEAR,2016,47.2,0.47153,2022-03-02T14:06:57Z,2016,01-01-16,31-12-16
28132524,MALARIA_IPTP3_COVERAGE,COUNTRY,BDI,YEAR,2015,41.2,0.41157,2022-03-02T14:06:57Z,2015,01-01-15,31-12-15
28132525,MALARIA_IPTP3_COVERAGE,COUNTRY,BDI,YEAR,2014,35.2,0.3516,2022-03-02T14:06:57Z,2014,01-01-14,31-12-14
28132526,MALARIA_IPTP3_COVERAGE,COUNTRY,BDI,YEAR,2013,0,0,2022-03-02T14:06:57Z,2013,01-01-13,31-12-13
28132527,MALARIA_IPTP3_COVERAGE,COUNTRY,BDI,YEAR,2012,0,0,2022-03-02T14:06:57Z,2012,01-01-12,31-12-12
28132528,MALARIA_IPTP3_COVERAGE,COUNTRY,BDI,YEAR,2011,0,0,2022-03-02T14:06:57Z,2011,01-01-11,31-12-11
28132529,MALARIA_IPTP3_COVERAGE,COUNTRY,BDI,YEAR,2010,0,0,2022-03-02T14:06:57Z,2010,01-01-10,31-12-10
28132530,MALARIA_IPTP3_COVERAGE,COUNTRY,BEN,YEAR,2020,32.6,0.32578,2022-03-02T14:06:57Z,2020,01-01-20,31-12-20
28132531,MALARIA_IPTP3_COVERAGE,COUNTRY,BEN,YEAR,2019,34,0.33973,2022-03-02T14:06:57Z,2019,01-01-19,31-12-19
28132532,MALARIA_IPTP3_COVERAGE,COUNTRY,BEN,YEAR,2018,27.3,0.27319,2022-03-02T14:06:57Z,2018,01-01-18,31-12-18
28132533,MALARIA_IPTP3_COVERAGE,COUNTRY,BEN,YEAR,2017,11.3,0.11276,2022-03-02T14:06:57Z,2017,01-01-17,31-12-17
28132534,MALARIA_IPTP3_COVERAGE,COUNTRY,BEN,YEAR,2016,0,0,2022-03-02T14:06:57Z,2016,01-01-16,31-12-16
28132535,MALARIA_IPTP3_COVERAGE,COUNTRY,BEN,YEAR,2015,0,0,2022-03-02T14:06:57Z,2015,01-01-15,31-12-15
28132536,MALARIA_IPTP3_COVERAGE,COUNTRY,BEN,YEAR,2014,0,0,2022-03-02T14:06:57Z,2014,01-01-14,31-12-14
28132537,MALARIA_IPTP3_COVERAGE,COUNTRY,BEN,YEAR,2013,0,0,2022-03-02T14:06:57Z,2013,01-01-13,31-12-13
28132538,MALARIA_IPTP3_COVERAGE,COUNTRY,BEN,YEAR,2012,0,0,2022-03-02T14:06:57Z,2012,01-01-12,31-12-12
28132539,MALARIA_IPTP3_COVERAGE,COUNTRY,BEN,YEAR,2011,0,0,2022-03-02T14:06:57Z,2011,01-01-11,31-12-11
28132540,MALARIA_IPTP3_COVERAGE,COUNTRY,BEN,YEAR,2010,0,0,2022-03-02T14:06:57Z,2010,01-01-10,31-12-10
28132541,MALARIA_IPTP3_COVERAGE,COUNTRY,BFA,YEAR,2020,52.4,0.52426,2022-03-02T14:06:57Z,2020,01-01-20,31-12-20
28132542,MALARIA_IPTP3_COVERAGE,COUNTRY,BFA,YEAR,2019,58.8,0.58806,2022-03-02T14:06:57Z,2019,01-01-19,31-12-19
28132543,MALARIA_IPTP3_COVERAGE,COUNTRY,BFA,YEAR,2018,58,0.5799,2022-03-02T14:06:57Z,2018,01-01-18,31-12-18
28132544,MALARIA_IPTP3_COVERAGE,COUNTRY,BFA,YEAR,2017,41.4,0.41429,2022-03-02T14:06:57Z,2017,01-01-17,31-12-17
28132545,MALARIA_IPTP3_COVERAGE,COUNTRY,BFA,YEAR,2016,51,0.50989,2022-03-02T14:06:57Z,2016,01-01-16,31-12-16
28132546,MALARIA_IPTP3_COVERAGE,COUNTRY,BFA,YEAR,2015,38.5,0.38482,2022-03-02T14:06:57Z,2015,01-01-15,31-12-15
28132547,MALARIA_IPTP3_COVERAGE,COUNTRY,BFA,YEAR,2014,14.8,0.14841,2022-03-02T14:06:57Z,2014,01-01-14,31-12-14
28132548,MALARIA_IPTP3_COVERAGE,COUNTRY,BFA,YEAR,2013,0,0,2022-03-02T14:06:57Z,2013,01-01-13,31-12-13
28132549,MALARIA_IPTP3_COVERAGE,COUNTRY,BFA,YEAR,2012,0,0,2022-03-02T14:06:57Z,2012,01-01-12,31-12-12
28132550,MALARIA_IPTP3_COVERAGE,COUNTRY,BFA,YEAR,2011,0,0,2022-03-02T14:06:57Z,2011,01-01-11,31-12-11
28132551,MALARIA_IPTP3_COVERAGE,COUNTRY,BFA,YEAR,2010,0,0,2022-03-02T14:06:57Z,2010,01-01-10,31-12-10
28132552,MALARIA_IPTP3_COVERAGE,COUNTRY,CAF,YEAR,2020,36.7,0.36655,2022-03-02T14:06:57Z,2020,01-01-20,31-12-20
28132553,MALARIA_IPTP3_COVERAGE,COUNTRY,CAF,YEAR,2019,36.8,0.3679,2022-03-02T14:06:57Z,2019,01-01-19,31-12-19
28132554,MALARIA_IPTP3_COVERAGE,COUNTRY,CAF,YEAR,2018,29.7,0.29705,2022-03-02T14:06:57Z,2018,01-01-18,31-12-18
28132555,MALARIA_IPTP3_COVERAGE,COUNTRY,CAF,YEAR,2017,15.6,0.15582,2022-03-02T14:06:57Z,2017,01-01-17,31-12-17
28132556,MALARIA_IPTP3_COVERAGE,COUNTRY,CAF,YEAR,2016,20.8,0.20839,2022-03-02T14:06:57Z,2016,01-01-16,31-12-16
28132557,MALARIA_IPTP3_COVERAGE,COUNTRY,CAF,YEAR,2015,13.5,0.13487,2022-03-02T14:06:57Z,2015,01-01-15,31-12-15
28132558,MALARIA_IPTP3_COVERAGE,COUNTRY,CAF,YEAR,2014,0,0,2022-03-02T14:06:57Z,2014,01-01-14,31-12-14
28132559,MALARIA_IPTP3_COVERAGE,COUNTRY,CAF,YEAR,2013,0,0,2022-03-02T14:06:57Z,2013,01-01-13,31-12-13
28132560,MALARIA_IPTP3_COVERAGE,COUNTRY,CAF,YEAR,2012,0,0,2022-03-02T14:06:57Z,2012,01-01-12,31-12-12
28132561,MALARIA_IPTP3_COVERAGE,COUNTRY,CAF,YEAR,2011,0,0,2022-03-02T14:06:57Z,2011,01-01-11,31-12-11
28132562,MALARIA_IPTP3_COVERAGE,COUNTRY,CAF,YEAR,2010,0,0,2022-03-02T14:06:57Z,2010,01-01-10,31-12-10
28132563,MALARIA_IPTP3_COVERAGE,COUNTRY,CIV,YEAR,2020,39,0.38995,2022-03-02T14:06:57Z,2020,01-01-20,31-12-20
28132564,MALARIA_IPTP3_COVERAGE,COUNTRY,CIV,YEAR,2019,41.5,0.41459,2022-03-02T14:06:57Z,2019,01-01-19,31-12-19
28132565,MALARIA_IPTP3_COVERAGE,COUNTRY,CIV,YEAR,2018,38.1,0.38108,2022-03-02T14:06:57Z,2018,01-01-18,31-12-18
28132566,MALARIA_IPTP3_COVERAGE,COUNTRY,CIV,YEAR,2017,32.7,0.32739,2022-03-02T14:06:57Z,2017,01-01-17,31-12-17
28132567,MALARIA_IPTP3_COVERAGE,COUNTRY,CIV,YEAR,2016,29.7,0.29714,2022-03-02T14:06:57Z,2016,01-01-16,31-12-16
28132568,MALARIA_IPTP3_COVERAGE,COUNTRY,CIV,YEAR,2015,10.4,0.10405,2022-03-02T14:06:57Z,2015,01-01-15,31-12-15
28132569,MALARIA_IPTP3_COVERAGE,COUNTRY,CIV,YEAR,2014,19.1,0.19059,2022-03-02T14:06:57Z,2014,01-01-14,31-12-14
28132570,MALARIA_IPTP3_COVERAGE,COUNTRY,CIV,YEAR,2013,9.3,0.09327,2022-03-02T14:06:57Z,2013,01-01-13,31-12-13
28132571,MALARIA_IPTP3_COVERAGE,COUNTRY,CIV,YEAR,2012,0,0,2022-03-02T14:06:57Z,2012,01-01-12,31-12-12
28132572,MALARIA_IPTP3_COVERAGE,COUNTRY,CIV,YEAR,2011,0,0,2022-03-02T14:06:57Z,2011,01-01-11,31-12-11
28132573,MALARIA_IPTP3_COVERAGE,COUNTRY,CIV,YEAR,2010,0,0,2022-03-02T14:06:57Z,2010,01-01-10,31-12-10
28132574,MALARIA_IPTP3_COVERAGE,COUNTRY,CMR,YEAR,2020,24.7,0.24696,2022-03-02T14:06:58Z,2020,01-01-20,31-12-20
28132575,MALARIA_IPTP3_COVERAGE,COUNTRY,CMR,YEAR,2019,32,0.31995,2022-03-02T14:06:58Z,2019,01-01-19,31-12-19
28132576,MALARIA_IPTP3_COVERAGE,COUNTRY,CMR,YEAR,2018,26,0.26032,2022-03-02T14:06:58Z,2018,01-01-18,31-12-18
28132577,MALARIA_IPTP3_COVERAGE,COUNTRY,CMR,YEAR,2017,23.5,0.23535,2022-03-02T14:06:58Z,2017,01-01-17,31-12-17
28132578,MALARIA_IPTP3_COVERAGE,COUNTRY,CMR,YEAR,2016,19.3,0.19322,2022-03-02T14:06:58Z,2016,01-01-16,31-12-16
28132579,MALARIA_IPTP3_COVERAGE,COUNTRY,CMR,YEAR,2015,17.7,0.17703,2022-03-02T14:06:58Z,2015,01-01-15,31-12-15
28132580,MALARIA_IPTP3_COVERAGE,COUNTRY,CMR,YEAR,2014,15.1,0.1509,2022-03-02T14:06:58Z,2014,01-01-14,31-12-14
28132581,MALARIA_IPTP3_COVERAGE,COUNTRY,CMR,YEAR,2013,15.6,0.15641,2022-03-02T14:06:58Z,2013,01-01-13,31-12-13
28132582,MALARIA_IPTP3_COVERAGE,COUNTRY,CMR,YEAR,2012,14.5,0.14464,2022-03-02T14:06:58Z,2012,01-01-12,31-12-12
28132583,MALARIA_IPTP3_COVERAGE,COUNTRY,CMR,YEAR,2011,0,0,2022-03-02T14:06:58Z,2011,01-01-11,31-12-11
28132584,MALARIA_IPTP3_COVERAGE,COUNTRY,CMR,YEAR,2010,0,0,2022-03-02T14:06:58Z,2010,01-01-10,31-12-10
28132585,MALARIA_IPTP3_COVERAGE,COUNTRY,COD,YEAR,2020,59.9,0.59946,2022-03-02T14:06:58Z,2020,01-01-20,31-12-20
28132586,MALARIA_IPTP3_COVERAGE,COUNTRY,COD,YEAR,2019,59.1,0.59139,2022-03-02T14:06:58Z,2019,01-01-19,31-12-19
28132587,MALARIA_IPTP3_COVERAGE,COUNTRY,COD,YEAR,2018,50.2,0.50248,2022-03-02T14:06:58Z,2018,01-01-18,31-12-18
28132588,MALARIA_IPTP3_COVERAGE,COUNTRY,COD,YEAR,2017,40.7,0.40678,2022-03-02T14:06:58Z,2017,01-01-17,31-12-17
28132589,MALARIA_IPTP3_COVERAGE,COUNTRY,COD,YEAR,2016,29.6,0.29639,2022-03-02T14:06:58Z,2016,01-01-16,31-12-16
28132590,MALARIA_IPTP3_COVERAGE,COUNTRY,COD,YEAR,2015,10.3,0.1033,2022-03-02T14:06:58Z,2015,01-01-15,31-12-15
28132591,MALARIA_IPTP3_COVERAGE,COUNTRY,COD,YEAR,2014,0.02,1.80E-04,2022-03-02T14:06:58Z,2014,01-01-14,31-12-14
28132592,MALARIA_IPTP3_COVERAGE,COUNTRY,COD,YEAR,2013,0,0,2022-03-02T14:06:58Z,2013,01-01-13,31-12-13
28132593,MALARIA_IPTP3_COVERAGE,COUNTRY,COD,YEAR,2012,0,0,2022-03-02T14:06:58Z,2012,01-01-12,31-12-12
28132594,MALARIA_IPTP3_COVERAGE,COUNTRY,COD,YEAR,2011,0,0,2022-03-02T14:06:58Z,2011,01-01-11,31-12-11
28132595,MALARIA_IPTP3_COVERAGE,COUNTRY,COD,YEAR,2010,0,0,2022-03-02T14:06:58Z,2010,01-01-10,31-12-10
28132596,MALARIA_IPTP3_COVERAGE,COUNTRY,COG,YEAR,2020,3.3,0.0326,2022-03-02T14:06:58Z,2020,01-01-20,31-12-20
28132597,MALARIA_IPTP3_COVERAGE,COUNTRY,COG,YEAR,2019,7.2,0.07166,2022-03-02T14:06:58Z,2019,01-01-19,31-12-19
28132598,MALARIA_IPTP3_COVERAGE,COUNTRY,COG,YEAR,2018,7.6,0.07627,2022-03-02T14:06:58Z,2018,01-01-18,31-12-18
28132599,MALARIA_IPTP3_COVERAGE,COUNTRY,COG,YEAR,2017,5.3,0.05278,2022-03-02T14:06:58Z,2017,01-01-17,31-12-17
28132600,MALARIA_IPTP3_COVERAGE,COUNTRY,COG,YEAR,2016,2.7,0.02708,2022-03-02T14:06:58Z,2016,01-01-16,31-12-16
28132601,MALARIA_IPTP3_COVERAGE,COUNTRY,COG,YEAR,2015,4.5,0.04457,2022-03-02T14:06:58Z,2015,01-01-15,31-12-15
28132602,MALARIA_IPTP3_COVERAGE,COUNTRY,COG,YEAR,2014,3.4,0.03436,2022-03-02T14:06:58Z,2014,01-01-14,31-12-14
28132603,MALARIA_IPTP3_COVERAGE,COUNTRY,COG,YEAR,2013,0,0,2022-03-02T14:06:58Z,2013,01-01-13,31-12-13
28132604,MALARIA_IPTP3_COVERAGE,COUNTRY,COG,YEAR,2012,0,0,2022-03-02T14:06:58Z,2012,01-01-12,31-12-12
28132605,MALARIA_IPTP3_COVERAGE,COUNTRY,COG,YEAR,2011,0,0,2022-03-02T14:06:58Z,2011,01-01-11,31-12-11
28132606,MALARIA_IPTP3_COVERAGE,COUNTRY,COG,YEAR,2010,0,0,2022-03-02T14:06:58Z,2010,01-01-10,31-12-10
28132607,MALARIA_IPTP3_COVERAGE,COUNTRY,GAB,YEAR,2020,15.4,0.15402,2022-03-02T14:06:58Z,2020,01-01-20,31-12-20
28132608,MALARIA_IPTP3_COVERAGE,COUNTRY,GAB,YEAR,2019,24,0.24031,2022-03-02T14:06:58Z,2019,01-01-19,31-12-19
28132609,MALARIA_IPTP3_COVERAGE,COUNTRY,GAB,YEAR,2018,33.2,0.33181,2022-03-02T14:06:58Z,2018,01-01-18,31-12-18
28132610,MALARIA_IPTP3_COVERAGE,COUNTRY,GAB,YEAR,2017,8.4,0.08401,2022-03-02T14:06:58Z,2017,01-01-17,31-12-17
28132611,MALARIA_IPTP3_COVERAGE,COUNTRY,GAB,YEAR,2016,9,0.09027,2022-03-02T14:06:58Z,2016,01-01-16,31-12-16
28132612,MALARIA_IPTP3_COVERAGE,COUNTRY,GAB,YEAR,2015,7.2,0.07217,2022-03-02T14:06:58Z,2015,01-01-15,31-12-15
28132613,MALARIA_IPTP3_COVERAGE,COUNTRY,GAB,YEAR,2014,9.1,0.09132,2022-03-02T14:06:58Z,2014,01-01-14,31-12-14
28132614,MALARIA_IPTP3_COVERAGE,COUNTRY,GAB,YEAR,2013,6.1,0.06145,2022-03-02T14:06:58Z,2013,01-01-13,31-12-13
28132615,MALARIA_IPTP3_COVERAGE,COUNTRY,GAB,YEAR,2012,3,0.0301,2022-03-02T14:06:58Z,2012,01-01-12,31-12-12
28132616,MALARIA_IPTP3_COVERAGE,COUNTRY,GAB,YEAR,2011,0,0,2022-03-02T14:06:58Z,2011,01-01-11,31-12-11
28132617,MALARIA_IPTP3_COVERAGE,COUNTRY,GAB,YEAR,2010,1,0.01019,2022-03-02T14:06:58Z,2010,01-01-10,31-12-10
28132618,MALARIA_IPTP3_COVERAGE,COUNTRY,GHA,YEAR,2020,40.1,0.40053,2022-03-02T14:06:58Z,2020,01-01-20,31-12-20
28132619,MALARIA_IPTP3_COVERAGE,COUNTRY,GHA,YEAR,2019,47.8,0.47849,2022-03-02T14:06:58Z,2019,01-01-19,31-12-19
28132620,MALARIA_IPTP3_COVERAGE,COUNTRY,GHA,YEAR,2018,46.6,0.46578,2022-03-02T14:06:58Z,2018,01-01-18,31-12-18
28132621,MALARIA_IPTP3_COVERAGE,COUNTRY,GHA,YEAR,2017,43.6,0.43558,2022-03-02T14:06:58Z,2017,01-01-17,31-12-17
28132622,MALARIA_IPTP3_COVERAGE,COUNTRY,GHA,YEAR,2016,37.9,0.37939,2022-03-02T14:06:58Z,2016,01-01-16,31-12-16
28132623,MALARIA_IPTP3_COVERAGE,COUNTRY,GHA,YEAR,2015,42.6,0.4262,2022-03-02T14:06:58Z,2015,01-01-15,31-12-15
28132624,MALARIA_IPTP3_COVERAGE,COUNTRY,GHA,YEAR,2014,26,0.26034,2022-03-02T14:06:58Z,2014,01-01-14,31-12-14
28132625,MALARIA_IPTP3_COVERAGE,COUNTRY,GHA,YEAR,2013,40.1,0.40091,2022-03-02T14:06:58Z,2013,01-01-13,31-12-13
28132626,MALARIA_IPTP3_COVERAGE,COUNTRY,GHA,YEAR,2012,45.5,0.45508,2022-03-02T14:06:58Z,2012,01-01-12,31-12-12
